,business,lat,lon,state,pcode
0,eoLMgozAsoMelvzwQthB1w ,33.490698,-111.992823, AZ , 85018
1,ntwqVG2YUQ48hKw1sTPsUQ ,36.1212234497,-115.17401886, NV , 89109
2,SILSPO3t7JEMJvDjDPTOag ,43.7008729,-79.4272404, ON , M6C 2B6
3,coCyzypaxobGlLksfpHzZA ,40.445052,-79.978494, PA , 15219
4,Ma7FGiFyKPVG7DzD8dLVVw ,48.778,9.17792, BW , 70173
5,NZy2kfdaO1C0RWMaMUueHQ ,45.5099412,-73.6003316, QC , H2V 2P9
6,9fAE8WkmfgwuRYtJ5R2z8Q ,35.213219,-80.831178, NC , 28204
7,z8KANbSs3R5mEvDCsKkTqw ,43.0737394,-89.4012205, WI , 53706
8,FIbbGwPNHxXGWSujCnCcCg ,41.4302431776,-81.6595745087, OH , 44105
9,_8FG9X4aEPK8hd_OK3ezgw ,55.951343,-3.2008631, EDH , EH2 4
10,NmiX_7talK5QTgMKvHPUaQ ,46.504003,-91.834086, WI , 54842
11,HbK6IfznbVToEaKVC0WcSg ,40.1150169,-88.2461385, IL , 61820
12,7hGEamzVvFq2b9eYUZpAxw ,39.7916103,-88.2729904, IL , 61953
13,I7Pul0LHzPlLjd4HAuqxzw ,52.31486,9.7225448, NI , 30966
14,ueQCSnUmb6Rg8-7yOJk_Rw ,43.8706325,-79.8678008, ON , L7C 1E7
15,Kx-pn6Sci2BQW7jYgWQ9Hw ,45.8976896,-74.151286, QC , J0R 1R6
16,nXURcdMDUIiovmWRFso9DQ ,43.7944224,-80.0127909, ON , L7K 0E5
17,QPmeZrxpWkKBV_p8RW_lnA ,33.2761422,-112.28609, AZ , 85339
18,uN81ps-eoqpDDMhqFiD-3A ,33.8706217,-111.8238623, AZ , 85331
19,3QYC-r_bhbWcOIF0Ma6rIg ,45.9066434,-74.2545372, QC , J0R 1H0
20,Bm61wrPP_urRlkuH6g2SHg ,40.1612962516,-79.5698547363, PA , 15688
21,VsPRkZb_-boEXg8UgjiLXw ,43.7739179654,-79.9449705387, ON , L7C 0J2
22,DAQAVlt4fFAynkrqYCCcQw ,40.2651908181,-75.6544480479, PA , 19464
23,MNo2l4eFOOJqCo8PX0W12A ,40.0279187,-88.5744749, IL , 61856
