,business,lat,lon,state,pcode
0,h9pl164llZwUv9bylqx2Xw ,35.3411144,-80.8354295, NC , 28217
1,g27s8rzecnH9vCjnfDJ_ww ,35.183586,-80.820732, NC , 28207
2,3UScLBD2K1jdCqR-FzIRHA ,35.451776,-80.866245, NC , 28031
3,vJ-KyaojDQj1R2BNrlDToA ,35.1420067,-80.5469564, NC , 28079
4,eQ1zbFjs6zU53qDWC_7Qpg ,35.2858357,-81.1885326, NC , 28052
5,mgQEWJgUOMGfErf19mo0og ,34.956636,-80.8513905, SC , 29707
6,p8PKgRodH_VFrTzqpMICyg ,35.1290557,-80.9539475, NC , 28273
7,ouWLY2L0cWr8eSl5qJiP2w ,35.094605,-81.005171, NC , 28273
8,se0gRg5L3gggUfUPOaKsmA ,34.9968185068,-80.9672533933, SC , 29715
9,BfdsOoKGsE1fhizIppvy4g ,35.0072261,-80.9391404, SC , 29716
10,d9FdI_dQkJ6uiwpr524JcQ ,35.2956471,-81.0163633, NC , 28120
11,yBhedmrY-7LP2d6h7MrtwQ ,35.061482,-80.771475, NC , 28277
12,n-AQFKbW6MnpamdtA6ECpQ ,35.0990099,-80.7793823, NC , 28277
13,Ajw9oYhxVBWn0n4bmvigCQ ,35.4611816,-80.8474255, NC , 28031
14,TU0OEay4AkNhjhxDDxLqkA ,35.2615787,-81.1425814, NC , 28052
15,T_L_FW4ghVXEUMSBZj-6kA ,35.035338,-80.8041, NC , 28277
16,DLPL_l7LzxoXMtDnwAPEEQ ,35.0398741992,-80.9801540296, SC , 29708
17,WS0WI4-MV_Kcg-vcWuZGQQ ,35.3727676956,-80.7840652764, NC , 28269
18,UCeR_XcNHACPpENqE-csIA ,35.3347618,-80.7150311, NC , 28262
19,TYe7fuJ3DO1MZZyZJOjwZg ,35.335627,-80.922953, NC , 28263
20,WTFDOzWP0DYzRDIjzEXwBw ,35.2519490238,-81.0340791765, NC , 28012
21,yHoM_-QycwM1mxeh1D-4Og ,35.0837216,-80.6615303, NC , 28079
22,-uZnQv5FrVbBXlxRnRk5Cw ,35.4315538,-80.6011649, NC , 28025
23,SvM1d4a5OrUIo_i3uzVRxw ,35.322069,-80.656603, NC , 28075
24,lTidZpUU1ikHfoKctJCanw ,35.372968,-80.6852059, NC , 28027
25,fhbZsOGRgQAXENrnABlJ4A ,35.4157059,-80.6704629, NC , 28027
26,gmpUZ8tb_xwuR9IEOus5rQ ,35.141224,-80.622779, NC , 28104
27,zLAjobZ6B_0tgJsB41FNuQ ,35.1754218,-80.654704, NC , 28227
28,IO3kl2cSL188ozomiknqmQ ,35.186895,-80.689738, NC , 28227
29,At3bSltMX8mrBWAHL9s-HA ,35.3568505049,-80.8688047435, NC , 28078
30,oHJLyfyyb5lzvAFYJQI7qg ,35.281153,-80.926391, NC , 28214
31,vFylbmcjMRaVxYeDZhnGyw ,35.369155,-80.715969, NC , 28027
32,hzg-nYlzQllNP65T_nEWmQ ,35.12359,-81.00714, NC , 28278
33,Y8a81TeCvOm1-H7DshFOOg ,35.1171312,-80.824652, NC , 28226
34,yiVQQj0QEzLiKTlKFaq8NQ ,35.0366891,-81.0219146, SC , 29708
35,q_qDA1mGb1LgmX823XvCDQ ,34.9562533,-80.7564664, NC , 28173
36,n-1-VDiJJ_AXTNu-WGvdag ,34.9297929,-80.745816, NC , 28173
37,lDhCVcGo5iPAYkqU5zF1-Q ,35.0876759,-80.9334512, SC , 29715
38,Y6EVRirYxg1ezyQ6u7tNWw ,34.9319698,-80.8211708, SC , 29707
39,_omO4bgUNP8zQEEyrEsVSw ,35.222903,-80.630875, NC , 28227
40,fc6RneAuOWeQDiT76Zs_Dw ,35.2589209,-81.0771434, NC , 28101
41,w2laNzQirA_bmJZueqR4lw ,35.2517959,-80.5023557, NC , 28107
42,ui9SyBfJEBbEFWz416eQ5w ,35.113126,-80.919617, NC , 28273
43,cko-gvEIli42wcEd84woPg ,35.13962,-80.683988, NC , 28105
44,7tLCT0fr9u957YsWRT3Y_w ,35.308686,-80.887165, NC , 28216
45,qmctaQ2PqZRBdrg18TOU9w ,35.171854,-81.107649, NC , 28052
46,CXFRrAnpmx6wBIhvnDiwBA ,35.283162,-80.6691759, NC , 28215
47,aZs0OxXBK8felYICOLWsiw ,35.2566549,-80.5998769, NC , 28025
48,Z66xO_B7trDah8F0PKwRqg ,35.1694291267,-80.9700375795, NC , 28278
49,dEeR1bvBeeAy3JTNsSvvJw ,35.0539461129,-80.749803912, NC , 28285
50,W58yQ1el2YBYpO8EjOI1Kw ,35.255527,-80.988696, NC , 28214
51,TCfnmXu1TQ-yM4WL7E52yQ ,35.1095175387,-80.8061599731, NC , 28226
52,WzVv2wZsiziwbcK_1TdC3w ,35.301924,-80.988053, NC , 28214
53,2Ry7PhEAy7nDZyZCBYmJ2A ,35.3551972,-81.0919395, NC , 28164
54,KV8e7trwdQkw1Hu3bUzDBw ,35.0579385,-80.9353469, SC , 29715
55,LkgeiQH-wF0X0jXzqLD2jA ,34.9359921293,-80.8379226923, SC , 29707
56,XuNcZFG3zzchWfwP_T1YJw ,35.2308929,-81.1967102, NC , 28052
57,pCp6jTiJY4fdCWC1axDOZw ,35.0002999796,-80.6971528703, NC , 28104
58,-o4egjmZHyJM-9-z7Io7qw ,35.0485712924,-80.6472991823, NC , 28079
59,ryhFIQc4NbAZIfq3JUvf1Q ,35.3242679,-80.947736, NC , 28216
60,9gQyf3h7XK0lKJYLGcIYlA ,35.3450737,-80.8871383667, NC , 28216
