business,lat,lon,state,pcode,label
sY_hAfwWzgr0sxyMgMB5Jg ,35.44301457,-80.86392537, NC ,28078,1
Ajw9oYhxVBWn0n4bmvigCQ ,35.4611816,-80.8474255, NC ,28031,1
BVECOSGZ00AYzrg2gimbJw ,35.498176,-80.849935, NC ,28036,1
#NAME?,35.4456919,-80.8788441, NC ,28078,1
_mahHsC5HaOGJyPQkj-50g ,35.4857295,-80.8784194, NC ,28031,1
9GukPjHTMOrys-xhzgTwSw ,35.480714,-80.860512, NC ,28031,1
4G3ptZapkPZwMCE-PX_7tA ,35.4783673,-80.8939292, NC ,28031,1
6Yl_8sfUKPT0kVdAbK0I8g ,35.4087857,-80.8627784, NC ,28078,1
tg4rqi5oZ7djQtLdI9KOtg ,35.4697097,-80.8745677, NC ,28031,1
GkR3S71b3tj32AAe_wgXkQ ,35.4449027,-80.8770459, NC ,28078,1
FvHty1O-VpUfxuVRDzkQ6w ,35.444292,-80.895513, NC ,28078,1
jaraJZ6TH-n71UV7WHAgpQ ,35.41418873,-80.85678479, NC ,28078,1
90oH6tilpqsCkz7Dhcxejw ,35.4824259,-80.862377, NC ,28031,1
OY2csCxGOYnZAGlvoRxOuw ,35.4035087,-80.8661112, NC ,28078,1
vVZ_4oNhCVuH8Tfr_uro9Q ,35.483712,-80.868313, NC ,28031,1
SPWFv7gy8PsH4smyzxqjZw ,35.4838433,-80.8678739, NC ,28031,1
pSkymMfPhLw-aJmFVu4bCw ,35.476565,-80.8922259, NC ,28031,1
87-KdXIzHFmIYBUwP84T9w ,35.4419607,-80.8569121, NC ,28078,1
#NAME?,35.4451629,-80.8802742, NC ,28078,1
-8iwcXhLnyqbLgvcrJGgaw ,35.445088,-80.8793759, NC ,28078,1
cG7Xm10L6VOCSGhrMxIv0A ,35.4420872,-80.8575728, NC ,28078,1
A77zYLnUgl7eUyY9y-iWjQ ,35.4393752,-80.871807, NC ,28078,1
jYJ1aXbE3eFJnPX_dTMyWA ,35.44320796,-80.8858645, NC ,28078,1
t_e1JQ4G7RARKz8TQtOiYw ,35.423674,-80.861262, NC ,28078,1
Kq9vZvyJp4LalLF2sh0kYg ,35.4440133,-80.8816011, NC ,28078,1
rHx_A6ADt1zLHLKLzHGWDQ ,35.45892016,-80.8889991, NC ,28031,1
MlRbpYTrE7V1nKhT7eGUjg ,35.4979941,-80.8494036, NC ,28036,1
zWQDSH-W-HQpFp5plMMQ5g ,35.4948208,-80.8532331, NC ,28036,1
sAnrNNtd7uXEc1nRLiUlwg ,35.4199101,-80.8423016, NC ,28078,1
DRaRNDsxtFUPbxEiy-rfTw ,35.408382,-80.854003, NC ,28078,1
yF0R7Ii-rRQpIMlMDvDevA ,35.40587659,-80.86515483, NC ,28078,1
x2HFl9z3xKf-Anup4dXp-Q ,35.5034994,-80.8631998, NC ,28036,1
Pu7GTgTzdjbxAhr8A73zGA ,35.501694,-80.861008, NC ,28036,1
8rtd2ZoeNMHjCQQnWuZ-bQ ,35.4991952,-80.8487957, NC ,28036,1
UXL5eg0e6W1AZzmX6NAXdg ,35.5038532,-80.848752, NC ,28036,1
CqZQmJcYac1FWNDnkBBNGw ,35.40912479,-80.85343998, NC ,28078,1
FOvQRsxHkSnuxm6PMLwRsQ ,35.411118,-80.855873, NC ,28078,1
eTLHyThSSwUgQD93ofe36Q ,35.4334116,-80.8702972, NC ,28078,1
PnXeEQQv0-0F5G24t03iWA ,35.442891,-80.8574667, NC ,28078,1
lixaIzi7KE2ZOqY7q19WZQ ,35.406028,-80.864995, NC ,28078,1
8FPeT8aBofbHqnFsOHXXGg ,35.485345,-80.8788348, NC ,28031,1
#NAME?,35.3699473,-80.8335527, NC ,28269,1
e6Ad2Yl9-HANFfLRttGQ-g ,35.459009,-80.854548, NC ,28031,1
x6epewlVEOzkJ37gzXpo_Q ,35.4868032,-80.8600736, NC ,28031,1
QWEoOvj9qFOuNkq6oBefUA ,35.4849428,-80.8588933, NC ,28031,1
Wyy8FS7ov1GFDfWE2UWcmA ,35.479529,-80.888199, NC ,28031,1
T7wNyVif2kjtcImmpod0fw ,35.463131,-80.846664, NC ,28031,1
i5V_Euq3ffzyBiaBIiOZ0g ,35.483866,-80.878967, NC ,28031,1
RXqlenXFrLcry4v7zQ6dJg ,35.480913,-80.882426, NC ,28031,1
BGSHE8NbHEBFV4qCpDwcPw ,35.475193,-80.892415, NC ,28031,1
UZm77e_RM65rlxHpiug6tQ ,35.4593557,-80.8896299, NC ,28031,1
