business,lat,lon,state,pcode,label
6EvETd9FVPJfhT_6AW9iEw ,35.3521284,-80.8512352, NC ,28216,0
lHYMeXf8JH1Q8Dazn9s3Gg ,35.295623,-80.754429, NC ,28262,0
sY_hAfwWzgr0sxyMgMB5Jg ,35.44301457,-80.86392537, NC ,28078,1
PCNeANrp7puV3nE-HI2JrQ ,35.059117,-80.811356, NC ,28277,0
7cIRj82eLbyvNG43lemt1A ,35.2181627,-80.8619108, NC ,28203,0
vJ-KyaojDQj1R2BNrlDToA ,35.1420067,-80.5469564, NC ,28079,2
8Tq8l82FtDyHelc6C8FRzw ,35.2818742,-81.1883519, NC ,28052,3
LIvXzdMJrIb6IY5Y3tqicA ,35.212521,-80.857639, NC ,28203,0
Pqkc04NdJQQeNrxQG-F9kA ,34.95430374,-80.85134907, SC ,29707,0
h7uxML49NQ_Wj-7zk0DSqg ,35.295757,-80.741677, NC ,28213,0
X02YNLa3Iofzwv5Le6QeYQ ,35.2966598,-80.737783, NC ,28213,0
2rgQ1TULwVoY7TnUlnH7Yw ,35.2949318,-80.7474815, NC ,28213,0
RFDKG76henTGqn1dfhfP7A ,35.130389,-80.7004897, NC ,28105,0
_OtUeybIKTx2jhLVYV66wA ,35.346468,-80.852589, NC ,28216,0
QJt6EkcHAAa_rY_27B9Rxg ,35.3030029,-80.7476035, NC ,28203,0
m7YpTiYuIW983WOSJjOm7w ,35.2264529,-80.8450651, NC ,28281,0
DMR4o9jWZqq06jDDi7pJ0A ,35.137951,-80.9397089, NC ,28273,0
ouWLY2L0cWr8eSl5qJiP2w ,35.094605,-81.005171, NC ,28273,0
ABeV2EzgMhyqyZGwXDBVdA ,35.1274285,-80.8599193, NC ,28210,0
mo_1c2bbtMt-1ykwAN9zeA ,34.967837,-80.8433145, SC ,29707,0
hbggXsBYLA2eqtqBUuDQcQ ,34.9978104,-80.9729604, SC ,29715,0
4YjueXz8-y75OVaWIW_3cw ,35.0108347,-80.9479422, SC ,29715,0
lZ9ReZiXX8p6fgEQk6gIGQ ,35.2887,-81.018498, NC ,28120,3
5lDEshkjy0Xmo6FzsfwPHA ,35.174878,-80.8487449, NC ,28209,0
roHEmKg-vyVWyDXSBdNXmA ,35.062218,-80.773346, NC ,28277,0
0YbU69SeHwBs4rxux-Ikfw ,35.10809,-80.783814, NC ,28226,0
YZjqRPrLZBOh2Lz5iVbuHA ,35.084106,-80.878954, NC ,28134,0
PYuHq2YtFuUj2q2ua08M4g ,35.0337419,-80.860407, NC ,28104,0
b2VWTg1eE-CAlQ26HeFE2Q ,35.22293964,-80.83235107, NC ,28202,0
dmAjz-EzkIyMMdsqYgOP7Q ,34.9548468,-80.8519757, SC ,29707,0
lwKOu5qHzCieui87LGrdRg ,35.1901908,-80.8878045, NC ,28217,0
LpyndkMvevIQA-JHoReHNw ,35.155407,-80.875309, NC ,28217,0
erYTtAwsPCo8_dWMMMAeKg ,35.10820101,-80.87783396, NC ,28273,0
Ajw9oYhxVBWn0n4bmvigCQ ,35.4611816,-80.8474255, NC ,28031,1
yuwmVUmsFVawe4zxnWZfNg ,35.086393,-80.848856, NC ,28226,0
poIxgdfXbVsPZgpZLQRu_w ,35.2966952,-80.7378127, NC ,28213,0
YaFM08fEdbp-iSon3Opsbw ,35.2941686,-80.7397847, NC ,28213,0
56iu77QguXtRnQRT0hUsrA ,35.0949821,-80.8617891, NC ,28210,0
jGC-7KSSr4a6kceTehcSpA ,35.150282,-80.850352, NC ,28210,0
g73uFsWgVKSwniNxRgxNuA ,35.094831,-80.86492, NC ,28210,0
BTW21b53PraGZpyXm9hxVQ ,35.1190597,-80.6959334, NC ,28105,0
zO1BuSuTZOyzbCIvzI0IXQ ,35.11543006,-80.70486355, NC ,28105,0
nbWhNr0CRep4tt9FFZ7s8A ,35.13635461,-80.71372395, NC ,28105,0
LHdwS_uUy-sAsB7ynxk3ig ,35.156338,-80.831878, NC ,28211,0
Mf8eigNz2Q9fO6rOOudzHQ ,35.138285,-80.910651, NC ,28273,0
1ddi7j3nph9tuU3J3TK6LA ,35.26091588,-81.14245503, NC ,28054,3
uMdvGQCS16HP6vvm7XVv9w ,35.268268,-81.138728, NC ,28054,3
BVECOSGZ00AYzrg2gimbJw ,35.498176,-80.849935, NC ,28036,1
IjpadUVLGkbige9WiEWiYA ,35.2268734,-80.8548648, NC ,28202,0
bZWLahDbdT2U637g-jVk6Q ,35.112941,-80.954971, NC ,28273,0
nPJqwNZWIxHd-vfE-E3XQQ ,35.1517973,-80.9507926, NC ,28273,0
hFZX4EKI77iLYRjMb4kN7g ,35.2191059,-80.7970519, NC ,28205,0
aA4AkefTWdLm94rgf6lUUA ,35.219977,-80.8132486, NC ,28205,0
9JilXjHVMppEPCNH0PZiIg ,35.19318771,-80.79064178, NC ,28211,0
64MxB_OZQ_2JCklRm1LYxw ,35.10266892,-80.98548535, NC ,28273,0
xZV11pvnGzv4qpTnRF2cCQ ,35.2203588,-80.8168897, NC ,28204,0
IShZuVS9Irh8uWjtPvw6Wg ,35.2164346,-80.832546, NC ,28204,0
QbbpMJiSU4M5g3x-q-lLuQ ,35.2267961,-80.8422332, NC ,28202,0
6iJ8yrsueJ8QH3HceGstxw ,35.176496,-80.802224, NC ,28211,0
qt-fNfLfCCXPBJMmBbHtPA ,35.2150714,-80.8294747, NC ,28204,0
EBDIZWxWH5lD7WyTnTngBg ,35.035319,-80.806121, NC ,28277,0
CzzNxUeGmSwE5k2YTr5Fjw ,35.2298209,-80.8442279, NC ,28202,0
frZ7G0v-E4p8DqubLC5MDA ,35.04654555,-80.99046072, SC ,29708,0
